date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/11/2021,ARKK,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,1925530.00,128837212.30,0.52
3/11/2021,ARKK,"DRAFTKINGS INC - CL A",DKNG,26142R104,1765203.00,126406186.83,0.51
3/11/2021,ARKK,"CERUS CORP",CERS,157085101,17738630.00,115655867.60,0.47
3/11/2021,ARKK,"BERKELEY LIGHTS INC",BLI,084310101,2080071.00,115339936.95,0.47
3/11/2021,ARKK,"COMPUGEN LTD",CGEN,M25722105,9332660.00,86047125.20,0.35
3/11/2021,ARKK,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,4705077.00,43757216.10,0.18
3/11/2021,ARKK,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,56896.00,6860519.68,0.03
3/11/2021,ARKK,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,123609.00,1469711.01,0.01
,,,,,,,
,,,,,,,
"The principal risks of investing in ARK ETFs include equity, market, management and non-diversification risks, as well as fluctuations in market value and net asset value ('NAV'). Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ETF before investing. This and other information are contained in each ETF's prospectus, which may be obtained by contacting the ETF's transfer agent The Bank of New York Mellon or by clicking here. Please read the prospectus carefully before you invest. The market price of ETF shares may differ significantly from their NAV during periods of market volatility. ETF shares may only be redeemed directly with the ETF at NAV by Authorized Participants, in very large creation units. Holdings are subject to change without notice and are not a recommendation to buy or sell any security. There can be no guarantee that an active trading market for ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Copyright 2021, ARK Investment Management LLC. All content is original and has been researched and produced by ARK Investment Management LLC unless otherwise stated. No part of this content may be reproduced in any form, or referred to in any other publication, without the express written permission of ARK Investment Management LLC. All statements made regarding companies, securities or other financial information on this site or any sites or articles relating to ARK Investment Management LLC are strictly beliefs and points of view held by ARK Investment Management and are subject to change without notice. Information contained herein has been obtained from sources believed to be reliable, but not guaranteed. This material has been distributed for informational purposes only and should not be considered as investment advice or a recommendation of any particular security, strategy or investment product.",,,,,,,
